1699100846-131,"Vacation ❘ CoupleA truly fantastic stay at this beautiful, well located hotel. We spent 2 nights here this week, celebrating our wedding anniversary. The welcome was professional and warm. The room was a great size but the views were just incredible. We … Read moreA truly fantastic stay at this beautiful, well located hotel. We spent 2 nights here this week, celebrating our wedding anniversary. The welcome was professional and warm. The room was a great size but the views were just incredible. We stayed in 2101 and the views watching the sun rise and sun set over London were wonderful. Drinks prices in the onsite restaurant were steep, but as expected in this kind of establishment. The breakfast was delicious and service very prompt. However our favourite part was the pool and gym. We went both days we were there and were lucky enough to be the only ones using it both times. I have nothing negative to say, it was a perfect way to spend a few nights away relaxing and celebrating.Rooms5.0Service5.0Location5.0Hotel highlightsLuxury · Great view · Romantic · QuietWalkabilityWell connected with 3 TFL lines all within 10 minutes. All of the major restaurants and facilities of Canary Wharf within 10 minute walk.Report review+10Response from the owner3 months agoThank you so much Tom Smith for this fantastic feedback. We are so happy to hear that you had such a fantastic stay with us and we hope to see you again soon! -  Anna & The Novotel London Canary Wharf Family",5
1699100846-132,"Vacation ❘ CoupleI'd say this stay was average compared to other stays. The price is not in line with the quality of the hotel. Firstly there are 4 lifts but there is always a long wait. When checking out, our lift stopped on 10 floors without being able to … Read moreI'd say this stay was average compared to other stays. The price is not in line with the quality of the hotel. Firstly there are 4 lifts but there is always a long wait. When checking out, our lift stopped on 10 floors without being able to take any further people on it. It was frustrating! The room itself was okay, there were stains on the floor and the sink. The AC was not cool at all. On a lighter note, the view was beautiful and the bar on floor 38 and 39 had even more amazing views. But it was not worth the money unfortunately. We stayed at a cheaper hotel the night before and felt that was better.Rooms2.0Service5.0Location4.0Hotel highlightsGreat viewReport reviewResponse from the owner4 weeks agoThank you for taking the time to share your feedback about your recent stay with us Ashee R. We genuinely appreciate your input, as it helps us identify areas where we can improve our services.We apologise for the inconvenience you experienced during your stay, particularly with the long wait times for the elevators. We understand that this can be frustrating, and we are actively looking into ways to improve elevator efficiency to provide a smoother experience for our guests.Additionally, we regret to hear about the cleanliness issues you encountered in your room, such as stains on the floor and sink. We will address this with our housekeeping team to ensure such oversights are rectified promptly. Your comfort and satisfaction are important to us, and we will use your feedback to make necessary improvements.We are pleased to hear that you enjoyed the beautiful views from our bar on floors 38 and 39. However, we are disappointed that you did not find the overall value of your stay to be in line with the price. We continuously strive to offer the best experience for our guests, and we will take your comments into account as we work to enhance our offerings.We hope you will consider giving us another opportunity to provide you with a more satisfactory stay in the future. We value your feedback, and it is essential for us to continue improving our services.Thank you for choosing to stay with us, and we hope to have the chance to welcome you back soon m- Anna & The Novotel London Canary Wharf Family",3
1699100846-133,"Vacation ❘ CoupleMy boyfriend booked this hotel for my 21st birthday. We had an amazing view of central London. The room was so nice. The bed was comfortable and lots of space. The TV was massive but you are more focused on the view than the TV. We got cans … Read moreMy boyfriend booked this hotel for my 21st birthday. We had an amazing view of central London. The room was so nice. The bed was comfortable and lots of space. The TV was massive but you are more focused on the view than the TV. We got cans of water and biscuits in the room. The staff were friendly. We went to the bar on the 38th floor which was beautiful. The views 10/10. Prices of the drinks are expensive but that’s what you pay for a view as amazing as that. Would definitely go back there for a special occasion only. Great experience and a lovely hotel.Rooms5.0Service5.0Location5.0Hotel highlightsLuxury · Great view · Great valueReport review+2Response from the ownera month agoWe're delighted to hear that you had a memorable 21st birthday celebration at our hotel  Fyn Simmonds ! It's wonderful to know that you enjoyed the amazing view of central London from your room, the comfortable accommodations, and the thoughtful amenities. Our team is pleased that you found them friendly and accommodating.The bar on the 38th floor does indeed offer breathtaking views, and we understand that special occasions call for something extraordinary. Thank you for choosing us to be a part of your celebration, and we look forward to welcoming you back for another special occasion in the future- Anna & The Novotel London Canary Wharf Family",5
1699100846-134,Vacation ❘ SoloThe staff were so lovely. I booked for my birthday stay and they tried to sort an alternative for me as soon as possible as there were problems with my restaurant. No problems with the stay. Great view and great facilities. Very clean hotel also. Would recommend!Rooms5.0Service5.0Location5.0Hotel highlightsLuxury · Great view · Romantic · QuietReport reviewResponse from the owner2 weeks agoThank you Nadia O for sharing your feedback in regards to your stay. We're thrilled to read that we made your birthday celebration s memorable! - Anna & The Novotel London Canary Wharf Family,5
1699100846-135,"Good stay, upgraded to a room with a h beautiful view on 32nd floor. Great drinks in the bar on the top floor. Room had a few small defects and stains, and check-in took a long time.Rooms4.0Service4.0Location5.0Report review",4
1699100846-136,"Great location and quiet rooms. AC could not be turned down or even switched off completely. Got a cold and a very sore throat after only a couple nights. Rooms are tidied up nicely, but show noticeable signs of wear. Some amenities, such … Read moreGreat location and quiet rooms. AC could not be turned down or even switched off completely. Got a cold and a very sore throat after only a couple nights. Rooms are tidied up nicely, but show noticeable signs of wear. Some amenities, such as bath robes are only available at an additional price, which is not the case for other similarly priced hotels in the vicinity. Breakfast options are limited and expensive for the quality. I would go for the Hilton.Rooms4.0Service3.0Location5.0Report reviewResponse from the ownera month agoThank you Ivan Gerov for taking the time to provide us with your feedback regarding your recent stay at our hotel. We appreciate your comments and are pleased to hear that you found our location convenient and enjoyed the quiet atmosphere in our rooms.We are truly sorry to hear about the issues you encountered during your stay. Your comfort and well-being are of utmost importance to us, and we apologize for any inconvenience caused by the inability to adjust the AC to your preference. We have taken note of your feedback and will work to improve this aspect to ensure a more comfortable environment for our guests in the future.We also appreciate your feedback about the condition of the rooms and the availability of certain amenities. Our team continuously strives to maintain the highest standards, and we will address the signs of wear and consider providing additional amenities for our guests' convenience. We hope to welcoming you again in the future - Anna & The Novotel London Canary Wharf Family",3
1699100846-137,"Vacation ❘ FriendsStayed here for one night, the female staff with blonde hair(looks like Penny from the Big bomb) was very unprofessional. She told us to wait for our room key after checking in, then she completely forgot this matter. We had to wait for … Read moreStayed here for one night, the female staff with blonde hair(looks like Penny from the Big bomb) was very unprofessional. She told us to wait for our room key after checking in, then she completely forgot this matter. We had to wait for half an hour to get the room key. Ironically, we never received an apologize from this rude lady. She should be trained more properly on manners and how to use her brain.
FYI: I don’t think constructive criticism is effective as I already saw many negative reviews. TRAIN YOUR STAFFS!Report reviewResponse from the owner2 weeks agoWe appreciate you taking the time to provide feedback regarding your recent stay at our hotel Kiera W. Guest feedback is invaluable to us, as it allows us to continuously improve our services. We apologise that you didn't have the perfect check in experience however, we would like to address the language used to describe our team member.While we understand that you had a less-than-ideal experience during your check-in process, we would like to emphasise the importance of respectful and constructive feedback. We strive to maintain a positive and supportive environment for our staff, and we believe that constructive criticism is more effective in helping us make improvements. Our staff is dedicated to providing exceptional service, and we are confident that your comments will help us in our ongoing efforts to enhance the guest experience - Anna & The Novotel London Canary Wharf Family",1
1699100846-138,"Vacation ❘ FamilyI have stayed in the hotel in June for my sisters birthday and honestly must say it was absolutely amazing! We both had a lot of fun in the hotel itself and in the surrounding areas. I stayed in one of the privilege rooms which is … Read moreI have stayed in the hotel in June for my sisters birthday and honestly must say it was absolutely amazing! We both had a lot of fun in the hotel itself and in the surrounding areas. I stayed in one of the privilege rooms which is absolutely worth it, the views were incredible, the bedroom very spacious and the bathroom just wow! From the beginning of the stay we were welcomed by reception with a lovely small gesture which was a Birthday card and Chocolates which my 8 year old sister loved, the absolutely heartwarming welcome continued during the afternoon where we went to the rooftop bar/restaurant, Tevin (the employee) could not have been more accommodating! In the morning once again we were welcomed with open arms by Rebeka and Alina who were again absolutely brilliant! Breakfast was fenomenal and lots of options, plus the great views!!!! Thank you team and hope to stay with you again in the future ❤️Rooms5.0Service5.0Location5.0Hotel highlightsGreat view · Romantic · Quiet · Kid-friendly · Great valueReport reviewResponse from the owner3 months agoThank you  Wiktoria Badowska for this amazigng review! It's great to hear that you had a fantastic stay celebrating your sister's birthday and the whole team made it special. We hope to see you again soon! - Anna & The Novotel London Canary Wharf Family",5
1699100846-139,"Vacation ❘ CoupleI had an amazing birthday break at this hotel, the view from the top was just spectacular day or night, I left my car in Westferry circus for 24hrs at a cost of £18 which I thought was very reasonable and just a short walk from the hotel. Breakfast was plentiful and I'd love to go back one day as I didn't have time to try out the pool.Rooms5.0Service4.0Location5.0Hotel highlightsGreat view · RomanticReport reviewResponse from the ownera month agoThank you Angela L. for sharing this great review! We are glad you enjoyed your stay and we hope to see you again soon - Anna & The Novotel London Canary Wharf",5
1699100846-140,"Vacation ❘ CoupleIt was my first time visiting London,  and I was very happy to stay here.
The location  is good for what I paid, easy access to public transportatio (fery or underground) … Read moreIt was my first time visiting London,  and I was very happy to stay here.
The location  is good for what I paid, easy access to public transportatio (fery or underground)
Close to shopping and restaurants area.
The restaurants and bar have an amazing view of the London center.
The room is comfortable.
They have a sauna and pool, but I had no time to try it.
The breakfast is very good .Rooms5.0Service5.0Location5.0Hotel highlightsGreat view · Great valueRoomsComfortable and big enoughWalkabilityTo restaurants and public transportationReport reviewResponse from the ownera month agoWe are so happy to hear this fantastic review Sefri Haryanto. It's great to hear that you were happy to stay with us on your first visit to London. Come back soon - Anna & The Novotel London Canary Wharf Family",5
