"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","Not the first, definitely wont be the last. Excellent location in the heart of everything at Leicester Square. Great rooms and facilities, awesome rooftop bar, can’t really fault our stay. “Reasonably priced” for London. We stayed 2 nights … Read more",5/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","If you're traveling to London, this hotel is the best choice. I stayed for five nights, and its location is perfect, right in front of Leicester Square and a 5 minute walk from Trafalgar Square. Most of the popular tourist spots are within … Read more",5/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","I am surprised this hotel has such a high overall rating.
The rooms are super small, not very clean (old stains on the floor and on the sheets), the shower has low flow rate, it smells like cigarettes in the corridors. … Read more",2/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","Excellent location in the heart of everything at Leicester Square. Great rooms and facilities, awesome rooftop bar, can’t really fault our stay. “Reasonably priced” for London. We stayed 5 nights & loved it! Would stay here again. To top it … Read more",5/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","I am an IHG diamond elite ambassador member. I write this review without hesitation. This hotel is great. Upon arrival, we had a great upgrade to a room with a beautiful room. The location is very centralized to great restaurants and … Read more",5/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","If u are an IHG employee definitely don’t book any room with them. They will keep cancel it, without letting u know. When you arrive at the hotel want to check in they will just say this is owner decision. … Read more",1/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","The Biggest issue with Hotel Indigo Leicester square is value for money. It is far overpriced for what you get, you are purely paying for location.
The rooms are small and have an odd layout, it feels like the space could be … Read more",2/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel",This hotel location was amazing. It's right outside of everything you would want to check out and super walkable. The downsides were the rooms were really small and many without a window. We got moved to one with a balcony since our water … Read more,4/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","It was only one night and it started well when the disabled ramp was put into operation making 5 difficult steps for my wife disappear.
The room was also a pleasant surprise with excellent accessibility in the … Read more",5/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","Not the worst hotel experience I’ve had, but definitely the worst hotel experience that I’ve paid $350/night for. … Read more",1/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","I am not understanding the 4/5 star reviews for this hotel.
I am from the U.S. and I understand that most hotels don’t have AC in Europe. … Read more",3/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","I'm sorry, but it's a long list.
Very bland. Not Art Deco, more 50's brutalized industrial looking.
Elevators (lifts), well, forget the 2 of them. They have a mind of their own. … Read more",2/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","This hotel is not “bad”, but there are many issues to be aware of depending upon what you want from your stay. … Read more",3/5
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel",room was small but clean. bed was comfy and desk was good for working. hotel bar upstairs is nice to check out for the view. my only thing is that this is a very touristy location so it depends on if that is your vibe or not. i typically … Read more,5/5
